Number of elements	Merge Sort	Selection Sort
754	43045	50973
755	43045	51728
756	43422	52106
757	58147	51729
758	57393	52484
759	57392	56638
760	58148	52106
761	57770	52484
762	77782	56259
763	58903	56637
764	53239	55882
765	44932	55882
766	43422	56260
767	43422	56260
768	43422	56260
769	43422	56259
770	43799	56637
771	44177	57015
772	54749	56637
773	59281	57014
774	60035	57015
775	60035	57015
776	59280	57393
777	58903	57392
778	60036	57393
779	58525	57770
780	45688	57770
781	49463	57770
782	45687	58148
783	45310	58147
784	45310	58147
785	44932	58525
786	45687	58525
787	46065	58525
788	46065	58525
789	45687	59280
790	46065	60413
791	46065	60035
792	45687	60413
793	46820	59658
794	46442	60036
795	46443	60035
796	47198	59658
797	46820	60036
798	46442	60413
799	46065	60790
800	46443	60790
801	46820	61168
802	46442	60414
803	46820	61546
804	46443	61168
805	47575	61168
806	47198	61546
807	48330	61923
808	46820	61923
809	47575	61546
810	47198	61923
811	46820	62301
812	47953	62301
813	47575	62301
814	47198	63056
815	47953	63056
816	47575	63057
817	47953	62678
818	47953	63056
819	47197	63434
820	48331	63433
821	47953	63811
822	47952	63812
823	48330	63811
824	48331	63433
825	48330	63812
826	48330	64567
827	48331	64944
828	48330	64944
829	49085	64944
830	48708	64944
831	47953	65321
832	47953	69475
833	48330	65700
834	49463	65699
835	49841	66832
836	51729	65699
837	49086	66077
838	52862	65699
839	51728	66077
840	50974	65699
841	53994	66077
842	49841	66454
843	49841	66831
844	49463	67210
845	49841	66831
846	49841	67587
847	49841	67587
848	50596	67587
849	49463	67587
850	50218	67965
851	50219	67964
852	50218	67965
853	50973	69098
854	51352	68342
855	50974	68720
856	52106	68720
857	50596	68343
858	50974	69097
859	50974	69097
860	50973	68720
861	51351	69475
862	50974	69097
863	50974	69475
864	50596	70230
865	50596	70230
866	51351	69852
867	51351	70230
868	52106	70231
869	51351	70230
870	53239	75894
871	50974	72495
872	51729	70985
873	52106	71363
874	52484	72873
875	52106	71741
876	52106	72118
877	54749	71741
878	52106	72496
879	56260	71740
880	52862	72495
881	51351	72118
882	51351	73251
883	51729	73250
884	53238	73251
885	52862	72873
886	52861	77782
887	52862	73628
888	52106	78159
889	53239	78537
890	51728	74006
891	52484	73251
892	51351	74383
893	51351	74761
894	52484	77404
895	52484	74384
896	57770	74761
897	55505	75139
898	52484	74384
899	52106	75139
900	52483	76272
901	52483	75517
902	53239	75894
903	53617	81180
904	52484	75516
905	53239	75516
906	53239	75516
907	53616	75516
908	53239	76271
909	53239	76271
910	54749	77027
911	55127	76649
912	53994	77026
913	53994	77027
914	54749	77405
915	53994	77404
916	54372	78159
917	54749	77404
918	57392	77782
919	54372	78537
920	57015	78537
921	56638	78159
922	56637	79292
923	55504	81180
924	56637	81935
925	54749	78537
926	54371	78915
927	55127	79292
928	55127	79292
929	55127	79670
930	56260	79669
931	55504	79670
932	55127	80425
933	55127	80425
934	54750	80425
935	54749	80425
936	55504	81180
937	56637	80425
938	55882	80803
939	55127	82313
940	60791	81557
941	57015	81558
942	55505	81557
943	59281	83823
944	65322	87977
945	56260	82690
946	57014	82691
947	55882	82690
948	56259	82691
949	57015	84200
950	66454	83068
951	56637	83823
952	57015	88731
953	56637	83445
954	58148	85333
955	56637	85333
956	60790	87599
957	78159	164626
958	85334	140838
959	76649	87221
960	58525	96283
961	57393	87599
962	61168	84956
963	63434	85711
964	56638	86466
965	57393	86843
966	57770	86466
967	58148	86088
968	57770	86844
969	62678	89487
970	58147	86089
971	57770	86089
972	58525	87221
973	57770	87222
974	57392	86844
975	62679	87976
976	58525	87599
977	60790	86844
978	59281	87598
979	58903	88354
980	58903	87599
981	58903	87599
982	58902	88354
983	58903	88354
984	58903	88354
985	58903	89109
986	62678	88732
987	60413	91375
988	62678	91375
989	61546	90997
990	61923	89109
991	59658	89487
992	58902	89865
993	60035	90242
994	59280	90620
995	58903	90241
996	59281	89864
997	60791	90619
998	59280	90997
999	63056	91374
1000	61168	90997
1001	59658	90997
1002	59280	91375
1003	60790	91752
1004	59280	91753
1005	59658	91752
1006	60035	91752
1007	60791	92507
1008	60035	92885
1009	60791	92508
1010	59658	93263
1011	61168	93641
1012	60413	93640
1013	60413	93640
1014	60791	94018
1015	60790	94018
1016	60413	94395
1017	60791	94395
1018	60413	94018
1019	60791	93640
1020	60413	95151
1021	60791	94395
1022	63811	95528
1023	60413	95150
1024	61169	94773
1025	60413	95151
1026	61546	95905
1027	61924	95905
1028	61924	95905
1029	61923	96283
1030	62301	95528
1031	62301	96283
1032	62679	97038
1033	62301	95906
1034	63811	96661
1035	63056	97794
1036	62301	97416
1037	63056	97416
1038	62678	97416
1039	63056	97794
1040	62301	98171
1041	62678	98171
1042	62301	98549
1043	63433	98171
1044	63056	98549
1045	65322	100059
1046	63056	98927
1047	63812	98926
1048	63811	112142
1049	63811	101947
1050	63811	99304
1051	63811	102324
1052	65699	101947
1053	63434	102324
1054	66077	100436
1055	64566	102325
1056	63811	101569
1057	68720	102325
1058	64189	100814
1059	63434	102324
1060	64189	101191
1061	64189	102703
1062	64567	101947
1063	70985	102325
1064	66077	102702
1065	64566	102702
1066	64189	103079
1067	64944	102703
1068	86844	107610
1069	86466	103835
1070	87599	104968
1071	84955	103458
1072	87599	103834
1073	86844	104213
1074	89486	104968
1075	92130	104212
1076	86844	103835
1077	96284	104590
1078	89109	104968
1079	91752	105723
1080	87599	104968
1081	86844	104967
1082	87222	104967
1083	86844	105345
1084	86844	106100
1085	87599	105345
1086	86843	105346
1087	88732	105723
1088	86844	107611
1089	86844	106855
1090	94018	107233
1091	88354	107233
1092	88354	107233
1093	89109	107233
1094	89109	107233
1095	88354	106855
1096	89487	107988
1097	88732	109499
1098	89487	109876
1099	97793	107989
1100	91375	108366
1101	90619	109121
1102	89864	109121
1103	87977	109121
1104	88732	109498
1105	89486	108744
1106	89110	109876
1107	94773	110254
1108	90620	114407
1109	92130	113274
1110	92130	112142
1111	90620	110254
1112	96284	110632
1113	90619	111009
1114	90242	110632
1115	90620	115917
1116	90997	111387
1117	90242	111764
1118	90997	112142
1119	90997	112142
1120	93263	112519
1121	91752	112897
1122	90242	113275
1123	91375	112897
1124	90997	113652
1125	90242	113652
1126	91752	118183
1127	91375	115163
1128	91375	112897
1129	92130	114407
1130	95151	114029
1131	92130	119693
1132	93263	114785
1133	99681	114785
1134	91752	115162
1135	91375	120448
1136	91375	120071
1137	93640	115918
1138	90620	117805
1139	90242	117050
1140	90242	122336
1141	91752	117806
1142	91375	116295
1143	91752	119316
1144	94396	117428
1145	95150	117428
1146	93640	117050
1147	92130	116673
1148	93263	117428
1149	92130	117805
1150	92130	118938
1151	93640	118183
1152	92885	118183
1153	92885	117805
1154	97794	118938
1155	92885	121204
1156	93263	119315
1157	93262	121582
1158	95906	121581
1159	99681	118561
1160	93640	119694
1161	93263	118938
1162	93262	120449
1163	94773	119316
1164	95905	120449
1165	94395	125735
1166	99304	124224
1167	94773	120826
1168	93263	122336
1169	97793	121959
1170	97416	130643
1171	101570	122714
1172	94773	122336
1173	97038	124224
1174	96284	129510
1175	101192	133664
1176	98926	123470
1177	94395	123847
1178	94018	124979
1179	98549	126867
1180	93641	126489
1181	93640	123847
1182	95906	124979
1183	94773	126867
1184	99681	124602
1185	97416	124225
1186	94773	123847
1187	95528	126112
1188	95151	124979
1189	97416	125735
1190	97794	125735
1191	97793	125735
1192	100436	125735
1193	96283	125735
1194	101569	126113
1195	108366	126112
1196	100059	126868
1197	106478	126868
1198	100815	127622
1199	100059	127622
1200	97416	127623
1201	107234	127245
1202	98171	128000
1203	97793	128378
1204	106478	128377
1205	107611	130266
1206	122336	128756
1207	102702	132531
1208	114030	129510
1209	109876	128001
1210	103835	129511
1211	99682	130265
1212	98172	129888
1213	98171	129510
1214	105345	130643
1215	107233	131399
1216	109498	130644
1217	104212	131021
1218	102325	131020
1219	107988	131398
1220	107988	131776
1221	102325	131398
1222	104967	131776
1223	103457	131021
1224	102702	132153
1225	100436	132154
1226	100059	132909
1227	106478	132909
1228	105345	143859
1229	102703	134041
1230	111386	135552
1231	105346	132909
1232	117806	134419
1233	109499	137062
1234	114407	135174
1235	102325	135929
1236	100815	135552
1237	105345	137062
1238	100814	138572
1239	98926	137440
1240	99304	135929
1241	102324	134796
1242	111009	139327
1243	99304	135551
1244	100437	137062
1245	98927	137439
1246	106478	136684
1247	100059	135929
1248	99304	136307
1249	106856	137440
1250	101570	140838
1251	106855	140461
1252	107989	140082
1253	112897	140083
1254	101569	137818
1255	100436	138950
1256	100059	139328
1257	103458	139705
1258	101569	138950
1259	101947	139705
1260	101192	140460
1261	102325	139705
1262	101569	140083
1263	101570	140083
1264	101192	140838
1265	101192	140837
1266	101569	141216
1267	102325	141215
1268	101570	141593
1269	102324	141594
1270	106855	141971
1271	106478	141593
1272	107988	142348
1273	102325	142348
1274	101947	141593
1275	101192	143481
1276	101570	142726
1277	101947	143481
1278	103080	143481
1279	101192	143858
1280	101191	143481
1281	101947	144236
1282	103457	144236
1283	103457	144236
1284	102702	144614
1285	102325	144236
1286	104213	144614
1287	103458	144991
1288	103457	144991
1289	105346	145369
1290	103835	146501
1291	109876	146124
1292	103457	145746
1293	103457	145747
1294	104968	149522
1295	105346	146879
1296	107233	149522
1297	106855	158584
1298	106855	149900
1299	104968	148012
1300	105723	147634
1301	104967	148390
1302	104590	158584
1303	107610	148768
1304	106855	149523
1305	104968	153298
1306	106478	161605
1307	109499	149900
1308	107233	149145
1309	112142	149900
1310	107233	154809
1311	115162	154053
1312	106856	149899
1313	107611	151033
1314	105345	154431
1315	120449	154053
1316	105723	151410
1317	106101	153675
1318	106478	157829
1319	106100	152165
1320	106855	152543
1321	105345	152543
1322	106478	152921
1323	106478	152920
1324	107989	152921
1325	107611	153298
1326	107611	152920
1327	114785	153298
1328	107611	154053
1329	110254	153298
1330	108366	154430
1331	108365	154431
1332	108743	155186
1333	111009	155186
1334	107988	155186
1335	109876	155186
1336	111387	155186
1337	107988	155941
1338	115918	160472
1339	110254	160094
1340	111386	158585
1341	108744	156696
1342	108366	157452
1343	109499	157074
1344	108366	157451
1345	115918	157829
1346	109121	156697
1347	109121	158207
1348	109498	158207
1349	109121	168023
1350	108744	158962
1351	112519	158962
1352	111009	158585
1353	116295	159340
1354	120826	159717
1355	113652	160095
1356	125357	160095
1357	111387	160472
1358	114407	160094
1359	119694	161604
1360	117427	160850
1361	110632	161227
1362	119316	161604
1363	132154	160849
1364	127245	161983
1365	119316	162360
1366	131020	162360
1367	123469	163115
1368	114407	162738
1369	113275	162737
1370	115163	173687
1371	129132	163493
1372	121582	165758
1373	121959	164248
1374	120071	178974
1375	124980	167646
1376	118561	169534
1377	117428	169912
1378	115918	175575
1379	111764	165758
1380	117806	165381
1381	116672	177841
1382	113652	168779
1383	112519	165758
1384	115540	166136
1385	115162	170667
1386	132531	166891
1387	134041	166891
1388	123092	167646
1389	122713	166891
1390	113274	167646
1391	112520	168401
1392	112141	167269
1393	112142	168023
1394	112897	168401
1395	114407	168779
1396	118560	178219
1397	119694	169156
1398	116295	169156
1399	114029	170290
1400	114030	170289
1401	114784	170667
1402	131398	176330
1403	116673	171422
1404	118183	183127
1405	116673	174443
1406	114785	172177
1407	116295	170667
1408	123091	174066
1409	123847	178219
1410	115917	176708
1411	126867	175198
1412	131776	176331
1413	116295	172555
1414	126867	173310
1415	116296	178596
1416	114784	172933
1417	115162	174065
1418	114785	174065
1419	115162	174065
1420	118183	175198
1421	122714	174442
1422	119316	173687
1423	117428	175953
1424	117050	174821
1425	117051	175575
1426	116673	176330
1427	117805	176330
1428	118561	177086
1429	118938	176330
1430	121959	175953
1431	118938	177463
1432	118938	177463
1433	118938	177086
1434	118183	178219
1435	118183	177841
1436	118183	177841
1437	118561	178596
1438	118938	177841
1439	120071	178219
1440	116673	185392
1441	117806	178973
1442	137062	182372
1443	118939	198607
1444	124979	191812
1445	122714	183505
1446	117805	182749
1447	127245	185015
1448	119694	192566
1449	119315	183505
1450	119316	184637
1451	131398	183882
1452	119315	183505
1453	119693	186903
1454	119694	181616
1455	120826	182372
1456	118938	183127
1457	118938	182749
1458	117805	183505
1459	118183	183882
1460	117805	183882
1461	118560	184638
1462	120826	183882
1463	127623	183127
1464	119316	183882
1465	118938	185015
1466	120448	185015
1467	121203	185015
1468	119694	185393
1469	120826	184260
1470	119316	186525
1471	120448	189546
1472	120071	186525
1473	128377	187658
1474	120070	185393
1475	120448	189924
1476	123847	190301
1477	123091	191056
1478	120826	190301
1479	129888	188791
1480	121204	188413
1481	121959	190301
1482	121581	188791
1483	121204	188790
1484	121581	189169
1485	121958	191812
1486	123469	189923
1487	122337	191434
1488	121959	190301
1489	137817	192944
1490	123092	190679
1491	122714	190679
1492	126112	191812
1493	122337	190301
1494	127245	191434
1495	130644	192566
1496	155186	254490
1497	132154	193699
1498	134042	198230
1499	135930	196720
1500	136685	193322
1501	124980	193699
1502	124979	198231
1503	135552	197098
1504	121582	196342
1505	122714	198608
1506	133664	198230
1507	121959	195209
1508	123847	198608
1509	130266	199363
1510	125357	200496
1511	134797	195964
1512	123846	195965
1513	131020	196720
1514	134419	195965
1515	131776	195587
1516	122714	196720
1517	122714	197475
1518	124979	197475
1519	123091	198608
1520	123470	198607
1521	124224	197475
1522	140838	198986
1523	135929	199363
1524	139328	199363
1525	145746	198986
1526	132909	199741
1527	124224	208425
1528	124602	200118
1529	126112	209558
1530	129133	202383
1531	126112	203139
1532	127623	200874
1533	128377	200119
1534	132532	203894
1535	124224	201629
1536	125734	208425
1537	128001	204649
1538	131399	205404
1539	130266	214466
1540	138572	202006
1541	139705	206537
1542	124225	214844
1543	126867	216732
1544	126112	205027
1545	126490	210313
1546	136684	209558
1547	125357	205027
1548	135929	205404
1549	155186	206537
1550	128378	207292
1551	126489	205782
1552	128755	207292
1553	126867	208425
1554	126868	206914
1555	129132	205405
1556	128000	208048
1557	134041	208425
1558	128000	207669
1559	130266	208047
1560	128377	210313
1561	127622	210313
1562	129511	208425
1563	129888	208425
1564	129888	211068
1565	129133	211445
1566	129510	223151
1567	131020	210313
1568	128378	220508
1569	128001	215222
1570	130265	210313
1571	133287	212201
1572	137440	215221
1573	132154	217109
1574	132154	211445
1575	130266	211446
1576	130265	213711
1577	130266	214089
1578	131398	212200
1579	132909	215599
1580	130643	215221
1581	129511	214466
1582	129511	212956
1583	131776	213711
1584	131020	215599
1585	130266	216354
1586	134796	214467
1587	131399	214466
1588	131021	217109
1589	131398	217109
1590	131776	216731
1591	133664	216731
1592	131399	217864
1593	131398	219753
1594	134797	216354
1595	132531	217487
1596	131021	223528
1597	131776	219375
1598	129888	217487
1599	137063	222773
1600	131776	218997
1601	137818	224283
1602	133287	230324
1603	132909	223906
1604	135552	223528
1605	132154	223905
1606	134797	221640
1607	131021	218997
1608	146502	219752
1609	131776	219752
1610	142348	236743
1611	133664	223150
1612	134041	220886
1613	137440	221263
1614	135174	229192
1615	136307	225039
1616	138950	226171
1617	147635	224283
1618	132909	225038
1619	141593	229947
1620	138572	226549
1621	132909	224283
1622	135174	229947
1623	137440	223528
1624	134797	226549
1625	139327	226172
1626	149144	224284
1627	148389	225039
1628	149144	225039
1629	139327	227304
1630	150278	227681
1631	134796	230702
1632	138195	227304
1633	139705	228814
